Date,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
2020-04-15,Recovered,1509,10,20,1,2,29,9,17,0,0,41,6,64,56,14,36,0,80,218,12,0,64,295,1,0,0,0,19,1,27,147,0,118,118,1,57,9,37,0
2020-04-16,Confirmed,13431,11,534,1,35,83,21,36,0,0,1640,7,929,215,35,314,29,315,395,18,0,1164,3201,2,9,1,0,60,7,197,1131,0,1267,700,2,805,37,231,0
2020-04-16,Deceased,448,0,14,0,1,1,0,0,0,0,38,0,36,3,2,4,2,13,3,0,0,56,193,0,1,0,0,1,0,14,11,0,15,18,0,13,0,10,0
2020-04-16,Recovered,1767,11,20,1,5,37,9,23,0,0,52,6,73,64,17,38,0,82,245,14,0,70,300,1,0,0,0,19,1,29,164,0,180,186,1,68,9,42,0
2020-04-17,Confirmed,14353,12,572,1,35,85,21,36,0,0,1707,7,1099,223,38,328,32,359,396,18,0,1310,3321,2,9,1,0,60,7,211,1229,0,1323,766,2,849,40,255,0
2020-04-17,Deceased,486,0,14,0,1,1,0,0,0,0,42,0,41,3,2,5,2,13,3,0,0,70,200,0,1,0,0,1,0,14,17,0,15,18,0,14,0,10,0
2020-04-17,Recovered,2040,11,35,1,9,37,9,24,0,0,72,6,86,85,17,42,0,88,255,14,0,70,331,1,0,0,0,21,1,30,183,0,283,186,1,82,9,51,0
2020-04-18,Confirmed,15724,14,603,1,35,86,23,36,0,0,1893,7,1376,232,39,341,33,384,400,18,0,1402,3648,2,11,1,0,61,7,234,1351,0,1372,809,2,975,42,287,0
2020-04-18,Deceased,521,0,16,0,1,2,0,0,0,0,43,0,53,3,2,5,2,14,3,0,0,70,210,0,1,0,0,1,0,16,21,0,15,18,0,14,0,12,0
2020-04-18,Recovered,2466,11,42,1,12,42,9,25,0,0,207,6,93,99,17,51,0,104,257,14,0,127,365,1,0,0,0,24,4,31,200,0,365,186,1,108,9,55,0
2020-04-19,Confirmed,17304,15,647,1,35,96,26,36,0,0,2003,7,1743,250,39,354,41,390,402,18,0,1407,4200,2,11,1,0,61,7,244,1478,0,1477,858,2,1100,44,310,0
2020-04-19,Deceased,559,0,17,0,1,2,0,0,0,0,45,0,63,3,2,5,2,16,3,0,0,73,222,0,1,0,0,1,0,16,23,0,15,21,0,17,0,12,0
2020-04-19,Recovered,2854,11,65,1,17,42,13,25,0,0,290,7,105,103,17,56,0,111,270,14,0,131,507,1,0,0,0,24,4,37,205,0,411,186,1,127,11,62,0
2020-04-20,Confirmed,18543,16,722,1,35,113,26,36,0,0,2081,7,1939,251,39,368,46,408,408,18,0,1485,4666,2,11,1,0,74,7,245,1576,0,1520,872,2,1184,46,339,0
2020-04-20,Deceased,592,0,20,0,1,2,0,0,0,0,47,0,71,3,2,5,2,16,3,0,0,77,231,0,1,0,0,1,0,16,25,0,17,23,0,18,0,12,0
2020-04-20,Recovered,3273,11,92,1,19,42,14,25,0,0,431,7,131,140,17,71,4,112,291,14,0,138,572,2,0,0,0,24,4,38,205,0,457,186,1,140,18,66,0
2020-04-21,Confirmed,20080,17,757,1,35,126,27,36,0,0,2156,7,2178,255,39,380,46,418,427,18,0,1552,5218,2,12,1,0,79,7,251,1735,0,1596,928,2,1337,46,392,0
2020-04-21,Deceased,645,0,22,0,1,2,0,0,0,0,47,0,90,3,2,5,2,17,3,0,0,81,250,0,1,0,0,1,0,16,26,0,18,23,0,21,0,15,0
2020-04-21,Recovered,3976,11,96,1,19,42,14,25,0,0,611,7,139,146,17,81,4,129,307,14,0,148,722,2,0,0,0,30,4,49,274,0,635,194,1,162,19,73,0
2020-04-22,Confirmed,21372,18,813,1,35,143,27,36,0,0,2248,7,2407,264,39,407,46,427,438,18,0,1587,5649,2,12,1,0,83,7,278,1888,0,1629,943,2,1449,46,423,0
2020-04-22,Deceased,681,0,24,0,1,2,0,0,0,0,48,0,103,3,2,5,2,17,3,0,0,81,268,0,1,0,0,1,0,16,27,0,18,24,0,21,0,15,0
2020-04-22,Recovered,4370,11,120,1,19,42,14,28,0,0,724,7,179,157,17,92,4,131,308,14,0,152,789,2,0,0,0,32,4,53,344,0,662,194,1,173,23,73,0
2020-04-23,Confirmed,23039,22,893,1,36,170,27,36,0,0,2376,7,2624,270,40,434,53,445,448,18,0,1687,6427,2,12,1,0,89,7,283,1964,0,1683,970,2,1510,47,456,0
2020-04-23,Deceased,721,0,27,0,1,2,0,0,0,0,50,0,112,3,2,5,3,17,3,0,0,84,282,0,1,0,0,1,0,17,28,0,20,25,0,24,0,15,0
