TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
61795,27,1142,3,1069,1699,103,257,1,0,4763,28,6795,1223,148,916,395,1868,540,15,0,3282,17782,54,11,1,22,1195,40,326,3998,3,7315,780,66,3258,742,1928,0
146768,6,2796,61,2139,2466,142,935,29,0,19200,348,9467,4377,186,2544,1027,3421,1123,80,0,3604,43125,296,18,101,87,1722,97,2083,4844,12,22109,2186,757,5617,787,5537,3440
4397,0,38,0,3,15,4,5,0,0,643,0,642,52,3,27,4,33,10,1,0,195,1793,0,0,0,0,6,2,33,130,0,202,93,1,172,12,279,0
67839,27,1241,3,1253,1851,107,327,1,0,5249,28,7161,1296,174,1065,433,1982,602,19,0,3432,19344,63,16,1,29,1267,47,353,4204,3,8687,956,105,3579,797,2137,0
150360,6,2834,61,2141,2508,150,935,29,0,19510,348,9814,4404,187,2562,1031,3435,1130,80,0,3775,44355,296,18,101,87,1760,97,2137,5018,12,22907,2265,757,5723,787,5661,3440
4478,0,38,0,3,15,4,5,0,0,643,0,662,53,3,28,4,33,10,1,0,201,1829,0,0,0,0,6,2,33,135,0,208,93,1,173,12,284,0
69418,27,1314,3,1258,1874,111,331,1,0,5309,28,7396,1333,174,1109,433,1986,602,20,0,3503,19931,63,16,1,29,1284,47,355,4287,3,8779,1006,105,3684,797,2219,0
151118,6,2849,61,2142,2508,152,941,29,0,19595,348,9862,4420,187,2583,1033,3452,1132,80,0,3808,44576,296,18,101,87,1760,97,2149,5122,12,23013,2293,757,5754,787,5669,3440
4520,0,39,0,3,15,4,5,0,0,648,0,664,54,3,28,5,33,10,1,0,204,1851,0,0,0,0,6,2,33,137,0,209,95,1,173,12,286,0
69532,27,1316,3,1258,1885,111,332,1,0,5310,28,7396,1341,178,1109,433,2001,638,20,0,3506,19940,63,16,1,29,1284,47,358,4292,3,8785,1013,105,3684,797,2222,0
162424,6,3056,80,2405,2656,165,988,29,0,21732,394,10357,4786,203,2739,1090,3723,1210,184,0,4010,48069,315,18,103,113,1872,103,2248,5352,62,24995,2457,798,6282,856,6145,2824
4908,0,39,0,5,16,4,5,0,0,777,0,695,60,3,29,5,40,11,1,0,213,1978,0,0,0,0,7,3,37,144,0,227,104,1,193,17,295,0
76795,27,1439,3,1410,2115,113,455,1,0,5977,30,7788,1555,195,1375,488,2465,670,24,0,3665,21658,63,20,1,57,1404,56,381,4528,3,10127,1298,105,4001,858,2440,0
165986,6,3127,80,2405,2786,171,988,29,0,22138,394,10719,4836,211,2794,1101,3786,1215,184,0,4211,49095,315,18,103,113,1894,103,2285,5490,62,25711,2508,800,6373,857,6255,2824
5028,0,40,0,5,16,4,5,0,0,790,0,719,60,3,29,5,40,11,1,0,217,2031,0,0,0,0,7,3,38,148,0,235,106,1,195,17,303,0
78700,27,1497,3,1410,2120,115,456,2,0,6360,30,8254,1560,195,1403,489,2472,670,24,0,3778,21997,63,20,1,57,1435,56,384,4658,3,10210,1319,105,4116,858,2553,0
167229,6,3146,80,2407,2788,171,988,29,0,22494,394,10775,4837,211,2819,1106,3801,1218,186,0,4263,49447,315,19,103,113,1895,103,2291,5583,62,25809,2569,800,6448,857,6273,2824
5055,0,40,0,5,16,4,5,0,0,794,0,721,60,3,29,5,42,11,1,0,224,2042,0,0,0,0,7,3,38,148,0,235,107,1,195,17,303,0
78812,27,1497,3,1410,2122,115,456,2,0,6363,30,8264,1567,195,1413,489,2478,689,25,0,3788,22009,63,20,1,57,1441,56,386,4658,3,10218,1319,105,4120,860,2563,0
